Diagnóstico principal (CIE10MC);Sexo;Motivo del alta;Total
1111 Obstrucción intestinal sin mención de hernia K56;Mujeres;traslado a otros centros;746
1111 Obstrucción intestinal sin mención de hernia K56;Mujeres;fallecimiento;1.132
1111 Obstrucción intestinal sin mención de hernia K56;Mujeres;otras causas;108
1112 Divertículos intestinales K57;Ambos sexos;total;27.925
1112 Divertículos intestinales K57;Ambos sexos;curación o mejoría;25.859
1112 Divertículos intestinales K57;Ambos sexos;traslado a otros centros;1.239
1112 Divertículos intestinales K57;Ambos sexos;fallecimiento;459
1112 Divertículos intestinales K57;Ambos sexos;otras causas;368
1112 Divertículos intestinales K57;Hombres;total;14.061
1112 Divertículos intestinales K57;Hombres;curación o mejoría;13.056
1112 Divertículos intestinales K57;Hombres;traslado a otros centros;607
1112 Divertículos intestinales K57;Hombres;fallecimiento;203
1112 Divertículos intestinales K57;Hombres;otras causas;196
1112 Divertículos intestinales K57;Mujeres;total;13.863
1112 Divertículos intestinales K57;Mujeres;curación o mejoría;12.804
1112 Divertículos intestinales K57;Mujeres;traslado a otros centros;632
1112 Divertículos intestinales K57;Mujeres;fallecimiento;256
1112 Divertículos intestinales K57;Mujeres;otras causas;172
1113 Enfermedades del ano y recto K60-K62;Ambos sexos;total;29.929
1113 Enfermedades del ano y recto K60-K62;Ambos sexos;curación o mejoría;27.989
1113 Enfermedades del ano y recto K60-K62;Ambos sexos;traslado a otros centros;1.172
1113 Enfermedades del ano y recto K60-K62;Ambos sexos;fallecimiento;501
1113 Enfermedades del ano y recto K60-K62;Ambos sexos;otras causas;267
1113 Enfermedades del ano y recto K60-K62;Hombres;total;19.334
1113 Enfermedades del ano y recto K60-K62;Hombres;curación o mejoría;18.185
1113 Enfermedades del ano y recto K60-K62;Hombres;traslado a otros centros;713
1113 Enfermedades del ano y recto K60-K62;Hombres;fallecimiento;257
1113 Enfermedades del ano y recto K60-K62;Hombres;otras causas;179
1113 Enfermedades del ano y recto K60-K62;Mujeres;total;10.595
1113 Enfermedades del ano y recto K60-K62;Mujeres;curación o mejoría;9.804
1113 Enfermedades del ano y recto K60-K62;Mujeres;traslado a otros centros;459
1113 Enfermedades del ano y recto K60-K62;Mujeres;fallecimiento;244
1113 Enfermedades del ano y recto K60-K62;Mujeres;otras causas;87
1114 Otras enfermedades del intestino K55, K58-K59, K63;Ambos sexos;total;21.085
1114 Otras enfermedades del intestino K55, K58-K59, K63;Ambos sexos;curación o mejoría;17.527
1114 Otras enfermedades del intestino K55, K58-K59, K63;Ambos sexos;traslado a otros centros;1.133
1114 Otras enfermedades del intestino K55, K58-K59, K63;Ambos sexos;fallecimiento;2.231
1114 Otras enfermedades del intestino K55, K58-K59, K63;Ambos sexos;otras causas;194
1114 Otras enfermedades del intestino K55, K58-K59, K63;Hombres;total;9.665
1114 Otras enfermedades del intestino K55, K58-K59, K63;Hombres;curación o mejoría;8.038
1114 Otras enfermedades del intestino K55, K58-K59, K63;Hombres;traslado a otros centros;516
1114 Otras enfermedades del intestino K55, K58-K59, K63;Hombres;fallecimiento;1.014
1114 Otras enfermedades del intestino K55, K58-K59, K63;Hombres;otras causas;98
1114 Otras enfermedades del intestino K55, K58-K59, K63;Mujeres;total;11.419
1114 Otras enfermedades del intestino K55, K58-K59, K63;Mujeres;curación o mejoría;9.489
1114 Otras enfermedades del intestino K55, K58-K59, K63;Mujeres;traslado a otros centros;618
1114 Otras enfermedades del intestino K55, K58-K59, K63;Mujeres;fallecimiento;1.217
1114 Otras enfermedades del intestino K55, K58-K59, K63;Mujeres;otras causas;95
1115 Enfermedad alcohólica del hígado K70;Ambos sexos;total;11.615
1115 Enfermedad alcohólica del hígado K70;Ambos sexos;curación o mejoría;9.371
1115 Enfermedad alcohólica del hígado K70;Ambos sexos;traslado a otros centros;789
1115 Enfermedad alcohólica del hígado K70;Ambos sexos;fallecimiento;1.153
1115 Enfermedad alcohólica del hígado K70;Ambos sexos;otras causas;302
1115 Enfermedad alcohólica del hígado K70;Hombres;total;9.684
1115 Enfermedad alcohólica del hígado K70;Hombres;curación o mejoría;7.842
1115 Enfermedad alcohólica del hígado K70;Hombres;traslado a otros centros;639
1115 Enfermedad alcohólica del hígado K70;Hombres;fallecimiento;952
1115 Enfermedad alcohólica del hígado K70;Hombres;otras causas;250
1115 Enfermedad alcohólica del hígado K70;Mujeres;total;1.931
1115 Enfermedad alcohólica del hígado K70;Mujeres;curación o mejoría;1.529
1115 Enfermedad alcohólica del hígado K70;Mujeres;traslado a otros centros;150
1115 Enfermedad alcohólica del hígado K70;Mujeres;fallecimiento;201
1115 Enfermedad alcohólica del hígado K70;Mujeres;otras causas;51
1116 Otras enfermedades del hígado K71-K77;Ambos sexos;total;17.391
1116 Otras enfermedades del hígado K71-K77;Ambos sexos;curación o mejoría;14.409
1116 Otras enfermedades del hígado K71-K77;Ambos sexos;traslado a otros centros;1.105
1116 Otras enfermedades del hígado K71-K77;Ambos sexos;fallecimiento;1.591
1116 Otras enfermedades del hígado K71-K77;Ambos sexos;otras causas;286
1116 Otras enfermedades del hígado K71-K77;Hombres;total;9.826
1116 Otras enfermedades del hígado K71-K77;Hombres;curación o mejoría;8.021
1116 Otras enfermedades del hígado K71-K77;Hombres;traslado a otros centros;619
1116 Otras enfermedades del hígado K71-K77;Hombres;fallecimiento;995
1116 Otras enfermedades del hígado K71-K77;Hombres;otras causas;190
1116 Otras enfermedades del hígado K71-K77;Mujeres;total;7.566
1116 Otras enfermedades del hígado K71-K77;Mujeres;curación o mejoría;6.388
1116 Otras enfermedades del hígado K71-K77;Mujeres;traslado a otros centros;486
1116 Otras enfermedades del hígado K71-K77;Mujeres;fallecimiento;596
1116 Otras enfermedades del hígado K71-K77;Mujeres;otras causas;96
1117 Colelitiasis K80;Ambos sexos;total;101.878
1117 Colelitiasis K80;Ambos sexos;curación o mejoría;95.978
1117 Colelitiasis K80;Ambos sexos;traslado a otros centros;4.316
1117 Colelitiasis K80;Ambos sexos;fallecimiento;926
1117 Colelitiasis K80;Ambos sexos;otras causas;657
1117 Colelitiasis K80;Hombres;total;43.222
1117 Colelitiasis K80;Hombres;curación o mejoría;40.618
1117 Colelitiasis K80;Hombres;traslado a otros centros;1.839
1117 Colelitiasis K80;Hombres;fallecimiento;450
1117 Colelitiasis K80;Hombres;otras causas;315
1117 Colelitiasis K80;Mujeres;total;58.657
1117 Colelitiasis K80;Mujeres;curación o mejoría;55.360
1117 Colelitiasis K80;Mujeres;traslado a otros centros;2.478
1117 Colelitiasis K80;Mujeres;fallecimiento;477
1117 Colelitiasis K80;Mujeres;otras causas;342
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Ambos sexos;total;30.640
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Ambos sexos;curación o mejoría;27.297
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Ambos sexos;traslado a otros centros;1.871
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Ambos sexos;fallecimiento;1.084
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Ambos sexos;otras causas;389
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Hombres;total;16.679
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Hombres;curación o mejoría;14.866
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Hombres;traslado a otros centros;1.018
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Hombres;fallecimiento;567
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Hombres;otras causas;228
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Mujeres;total;13.961
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Mujeres;curación o mejoría;12.432
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Mujeres;traslado a otros centros;852
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Mujeres;fallecimiento;518
1118 Otras enfermedades de la vesícula biliar y del tracto biliar K81-K83;Mujeres;otras causas;160
1119 Enfermedades pancreáticas K85-K87;Ambos sexos;total;35.344
1119 Enfermedades pancreáticas K85-K87;Ambos sexos;curación o mejoría;31.878
1119 Enfermedades pancreáticas K85-K87;Ambos sexos;traslado a otros centros;1.736
1119 Enfermedades pancreáticas K85-K87;Ambos sexos;fallecimiento;1.052
1119 Enfermedades pancreáticas K85-K87;Ambos sexos;otras causas;678
1119 Enfermedades pancreáticas K85-K87;Hombres;total;19.272
1119 Enfermedades pancreáticas K85-K87;Hombres;curación o mejoría;17.328
1119 Enfermedades pancreáticas K85-K87;Hombres;traslado a otros centros;910
1119 Enfermedades pancreáticas K85-K87;Hombres;fallecimiento;552
1119 Enfermedades pancreáticas K85-K87;Hombres;otras causas;481
1119 Enfermedades pancreáticas K85-K87;Mujeres;total;16.073
1119 Enfermedades pancreáticas K85-K87;Mujeres;curación o mejoría;14.550
1119 Enfermedades pancreáticas K85-K87;Mujeres;traslado a otros centros;826
1119 Enfermedades pancreáticas K85-K87;Mujeres;fallecimiento;499
1119 Enfermedades pancreáticas K85-K87;Mujeres;otras causas;197
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Ambos sexos;total;50.854
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Ambos sexos;curación o mejoría;44.972
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Ambos sexos;traslado a otros centros;2.820
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Ambos sexos;fallecimiento;2.488
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Ambos sexos;otras causas;573
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Hombres;total;27.394
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Hombres;curación o mejoría;24.189
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Hombres;traslado a otros centros;1.550
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Hombres;fallecimiento;1.326
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Hombres;otras causas;329
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Mujeres;total;23.460
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Mujeres;curación o mejoría;20.784
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Mujeres;traslado a otros centros;1.270
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Mujeres;fallecimiento;1.162
1120 Otras enfermedades del aparato digestivo Resto de K00-K95;Mujeres;otras causas;244
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Ambos sexos;total;51.443
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Ambos sexos;curación o mejoría;44.962
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Ambos sexos;traslado a otros centros;3.566
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Ambos sexos;fallecimiento;1.894
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Ambos sexos;otras causas;1.022
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Hombres;total;26.303
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Hombres;curación o mejoría;23.200
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Hombres;traslado a otros centros;1.702
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Hombres;fallecimiento;770
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Hombres;otras causas;631
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Mujeres;total;25.140
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Mujeres;curación o mejoría;21.762
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Mujeres;traslado a otros centros;1.863
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Mujeres;fallecimiento;1.124
1200 ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO L00-L99;Mujeres;otras causas;391
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Ambos sexos;total;27.964
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Ambos sexos;curación o mejoría;25.237
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Ambos sexos;traslado a otros centros;1.566
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Ambos sexos;fallecimiento;489
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Ambos sexos;otras causas;671
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Hombres;total;16.264
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Hombres;curación o mejoría;14.817
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Hombres;traslado a otros centros;794
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Hombres;fallecimiento;220
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Hombres;otras causas;434
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Mujeres;total;11.699
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Mujeres;curación o mejoría;10.420
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Mujeres;traslado a otros centros;773
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Mujeres;fallecimiento;270
1201 Infecciones de la piel y del tejido celular subcutáneo L00-L08;Mujeres;otras causas;237
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Ambos sexos;total;1.625
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Ambos sexos;curación o mejoría;1.516
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Ambos sexos;traslado a otros centros;66
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Ambos sexos;fallecimiento;12
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Ambos sexos;otras causas;31
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Hombres;total;827
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Hombres;curación o mejoría;763
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Hombres;traslado a otros centros;40
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Hombres;fallecimiento;4
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Hombres;otras causas;20
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Mujeres;total;798
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Mujeres;curación o mejoría;753
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Mujeres;traslado a otros centros;26
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Mujeres;fallecimiento;8
1202 Dermatitis, eczema y trastornos papuloescamosos L20-L45;Mujeres;otras causas;11
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Ambos sexos;total;21.854
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Ambos sexos;curación o mejoría;18.209
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Ambos sexos;traslado a otros centros;1.933
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Ambos sexos;fallecimiento;1.393
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Ambos sexos;otras causas;319
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Hombres;total;9.212
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Hombres;curación o mejoría;7.620
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Hombres;traslado a otros centros;868
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Hombres;fallecimiento;546
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Hombres;otras causas;177
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Mujeres;total;12.643
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Mujeres;curación o mejoría;10.589
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Mujeres;traslado a otros centros;1.065
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Mujeres;fallecimiento;846
1203 Otras enfermedades de la piel y del tejido subcutáneo Resto de L00-L99;Mujeres;otras causas;142
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Ambos sexos;total;335.113
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Ambos sexos;curación o mejoría;315.680
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Ambos sexos;traslado a otros centros;14.372
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Ambos sexos;fallecimiento;1.849
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Ambos sexos;otras causas;3.212
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Hombres;total;160.664
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Hombres;curación o mejoría;152.125
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Hombres;traslado a otros centros;6.129
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Hombres;fallecimiento;844
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Hombres;otras causas;1.566
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Mujeres;total;174.450
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Mujeres;curación o mejoría;163.555
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Mujeres;traslado a otros centros;8.243
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Mujeres;fallecimiento;1.005
1300 ENFERMEDADES DEL SISTEMA OSTEOMUSCULAR Y DEL TEJIDO CONJUNTIVO  M00-M99;Mujeres;otras causas;1.646
1301 Coxartrosis [artrosis de la cadera] M16;Ambos sexos;total;37.766
1301 Coxartrosis [artrosis de la cadera] M16;Ambos sexos;curación o mejoría;35.393
1301 Coxartrosis [artrosis de la cadera] M16;Ambos sexos;traslado a otros centros;1.876
1301 Coxartrosis [artrosis de la cadera] M16;Ambos sexos;fallecimiento;43
1301 Coxartrosis [artrosis de la cadera] M16;Ambos sexos;otras causas;454
1301 Coxartrosis [artrosis de la cadera] M16;Hombres;total;21.059
1301 Coxartrosis [artrosis de la cadera] M16;Hombres;curación o mejoría;19.911
1301 Coxartrosis [artrosis de la cadera] M16;Hombres;traslado a otros centros;874
1301 Coxartrosis [artrosis de la cadera] M16;Hombres;fallecimiento;26
1301 Coxartrosis [artrosis de la cadera] M16;Hombres;otras causas;248
1301 Coxartrosis [artrosis de la cadera] M16;Mujeres;total;16.707
1301 Coxartrosis [artrosis de la cadera] M16;Mujeres;curación o mejoría;15.482
1301 Coxartrosis [artrosis de la cadera] M16;Mujeres;traslado a otros centros;1.002
1301 Coxartrosis [artrosis de la cadera] M16;Mujeres;fallecimiento;17
1301 Coxartrosis [artrosis de la cadera] M16;Mujeres;otras causas;206
1302 Gonartrosis [artrosis de la rodilla] M17;Ambos sexos;total;64.540
1302 Gonartrosis [artrosis de la rodilla] M17;Ambos sexos;curación o mejoría;60.278
1302 Gonartrosis [artrosis de la rodilla] M17;Ambos sexos;traslado a otros centros;3.370
1302 Gonartrosis [artrosis de la rodilla] M17;Ambos sexos;fallecimiento;58
1302 Gonartrosis [artrosis de la rodilla] M17;Ambos sexos;otras causas;834
1302 Gonartrosis [artrosis de la rodilla] M17;Hombres;total;24.119
1302 Gonartrosis [artrosis de la rodilla] M17;Hombres;curación o mejoría;22.767
1302 Gonartrosis [artrosis de la rodilla] M17;Hombres;traslado a otros centros;1.034
1302 Gonartrosis [artrosis de la rodilla] M17;Hombres;fallecimiento;16
1302 Gonartrosis [artrosis de la rodilla] M17;Hombres;otras causas;303
1302 Gonartrosis [artrosis de la rodilla] M17;Mujeres;total;40.422
1302 Gonartrosis [artrosis de la rodilla] M17;Mujeres;curación o mejoría;37.511
1302 Gonartrosis [artrosis de la rodilla] M17;Mujeres;traslado a otros centros;2.337
1302 Gonartrosis [artrosis de la rodilla] M17;Mujeres;fallecimiento;42
1302 Gonartrosis [artrosis de la rodilla] M17;Mujeres;otras causas;531
1303 Trastorno interno de rodilla M23;Ambos sexos;total;28.417
1303 Trastorno interno de rodilla M23;Ambos sexos;curación o mejoría;27.994
1303 Trastorno interno de rodilla M23;Ambos sexos;traslado a otros centros;242
1303 Trastorno interno de rodilla M23;Ambos sexos;fallecimiento;6
1303 Trastorno interno de rodilla M23;Ambos sexos;otras causas;174
1303 Trastorno interno de rodilla M23;Hombres;total;19.357
1303 Trastorno interno de rodilla M23;Hombres;curación o mejoría;19.076
1303 Trastorno interno de rodilla M23;Hombres;traslado a otros centros;163
1303 Trastorno interno de rodilla M23;Hombres;fallecimiento;6
1303 Trastorno interno de rodilla M23;Hombres;otras causas;112
1303 Trastorno interno de rodilla M23;Mujeres;total;9.059
1303 Trastorno interno de rodilla M23;Mujeres;curación o mejoría;8.919
1303 Trastorno interno de rodilla M23;Mujeres;traslado a otros centros;78
1303 Trastorno interno de rodilla M23;Mujeres;fallecimiento;..
1303 Trastorno interno de rodilla M23;Mujeres;otras causas;62
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Ambos sexos;total;49.958
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Ambos sexos;curación o mejoría;47.893
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Ambos sexos;traslado a otros centros;1.532
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Ambos sexos;fallecimiento;161
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Ambos sexos;otras causas;372
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Hombres;total;22.866
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Hombres;curación o mejoría;21.840
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Hombres;traslado a otros centros;743
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Hombres;fallecimiento;79
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Hombres;otras causas;205
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Mujeres;total;27.092
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Mujeres;curación o mejoría;26.054
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Mujeres;traslado a otros centros;790
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Mujeres;fallecimiento;82
1304 Otras artropatías M00-M15, M18-M22, M24-M25;Mujeres;otras causas;166
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Ambos sexos;total;6.005
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Ambos sexos;curación o mejoría;5.495
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Ambos sexos;traslado a otros centros;303
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Ambos sexos;fallecimiento;148
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Ambos sexos;otras causas;59
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Hombres;total;2.316
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Hombres;curación o mejoría;2.104
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Hombres;traslado a otros centros;135
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Hombres;fallecimiento;56
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Hombres;otras causas;21
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Mujeres;total;3.690
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Mujeres;curación o mejoría;3.391
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Mujeres;traslado a otros centros;168
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Mujeres;fallecimiento;92
1305 Trastornos sistémicos del tejido conjuntivo M30-M36;Mujeres;otras causas;38
1306 Dorsopatías deformantes y espondilopatías M40-M49;Ambos sexos;total;27.298
1306 Dorsopatías deformantes y espondilopatías M40-M49;Ambos sexos;curación o mejoría;25.656
1306 Dorsopatías deformantes y espondilopatías M40-M49;Ambos sexos;traslado a otros centros;1.227
1306 Dorsopatías deformantes y espondilopatías M40-M49;Ambos sexos;fallecimiento;172
1306 Dorsopatías deformantes y espondilopatías M40-M49;Ambos sexos;otras causas;243
1306 Dorsopatías deformantes y espondilopatías M40-M49;Hombres;total;12.962
1306 Dorsopatías deformantes y espondilopatías M40-M49;Hombres;curación o mejoría;12.113
1306 Dorsopatías deformantes y espondilopatías M40-M49;Hombres;traslado a otros centros;634
1306 Dorsopatías deformantes y espondilopatías M40-M49;Hombres;fallecimiento;94
1306 Dorsopatías deformantes y espondilopatías M40-M49;Hombres;otras causas;120
1306 Dorsopatías deformantes y espondilopatías M40-M49;Mujeres;total;14.336
1306 Dorsopatías deformantes y espondilopatías M40-M49;Mujeres;curación o mejoría;13.543
1306 Dorsopatías deformantes y espondilopatías M40-M49;Mujeres;traslado a otros centros;594
1306 Dorsopatías deformantes y espondilopatías M40-M49;Mujeres;fallecimiento;77
1306 Dorsopatías deformantes y espondilopatías M40-M49;Mujeres;otras causas;123
1307 Trastorno del disco intervertebral M50-M51;Ambos sexos;total;30.281
1307 Trastorno del disco intervertebral M50-M51;Ambos sexos;curación o mejoría;29.179
1307 Trastorno del disco intervertebral M50-M51;Ambos sexos;traslado a otros centros;871
1307 Trastorno del disco intervertebral M50-M51;Ambos sexos;fallecimiento;31
1307 Trastorno del disco intervertebral M50-M51;Ambos sexos;otras causas;200
1307 Trastorno del disco intervertebral M50-M51;Hombres;total;15.506
1307 Trastorno del disco intervertebral M50-M51;Hombres;curación o mejoría;14.914
1307 Trastorno del disco intervertebral M50-M51;Hombres;traslado a otros centros;470
1307 Trastorno del disco intervertebral M50-M51;Hombres;fallecimiento;18
1307 Trastorno del disco intervertebral M50-M51;Hombres;otras causas;105
1307 Trastorno del disco intervertebral M50-M51;Mujeres;total;14.774
1307 Trastorno del disco intervertebral M50-M51;Mujeres;curación o mejoría;14.265
1307 Trastorno del disco intervertebral M50-M51;Mujeres;traslado a otros centros;401
1307 Trastorno del disco intervertebral M50-M51;Mujeres;fallecimiento;12
1307 Trastorno del disco intervertebral M50-M51;Mujeres;otras causas;96
1308 Dorsalgia M54;Ambos sexos;total;9.184
1308 Dorsalgia M54;Ambos sexos;curación o mejoría;8.448
1308 Dorsalgia M54;Ambos sexos;traslado a otros centros;480
1308 Dorsalgia M54;Ambos sexos;fallecimiento;72
1308 Dorsalgia M54;Ambos sexos;otras causas;184
1308 Dorsalgia M54;Hombres;total;4.081
1308 Dorsalgia M54;Hombres;curación o mejoría;3.758
